Name,Latitude,Longitude,County,Region,Page,Services
"Brookville",40.81316,-73.56735,"Nassau","Long Island","https://graduatepestcontrol.com/locations/brookville/",""
"Garden City",40.72677,-73.6343,"Nassau","Long Island","https://graduatepestcontrol.com/locations/garden-city/","Ant Control; Rodent Control; Bed Bug Treatment; Structural Exclusion; Mosquito Management; Wildlife Management"
"Glen Cove",40.86232,-73.63374,"Nassau","Long Island","https://graduatepestcontrol.com/locations/glen-cove/","Rodent Control; Structural Exclusion; Ant Control"
"Great Neck",40.80066,-73.72846,"Nassau","Long Island","https://graduatepestcontrol.com/locations/great-neck/","Ant Control; Rodent Control; Bed Bug Treatment; Structural Exclusion; Mosquito Management; Wildlife Management"
"Kings Point",40.81982,-73.73513,"Nassau","Long Island","https://graduatepestcontrol.com/locations/kings-point/",""
"Lattingtown",40.89538,-73.60096,"Nassau","Long Island","https://graduatepestcontrol.com/locations/lattingtown/",""
"Locust Valley",40.87593,-73.59707,"Nassau","Long Island","https://graduatepestcontrol.com/locations/locust-valley/","Rodent Control; Structural Exclusion; Ant Control"
"Manhasset",40.79788,-73.69957,"Nassau","Long Island","https://graduatepestcontrol.com/locations/manhasset/","Ant Control; Rodent Control; Bed Bug Treatment; Structural Exclusion; Mosquito Management; Wildlife Management"
"Old Westbury",40.78871,-73.59957,"Nassau","Long Island","https://graduatepestcontrol.com/locations/old-westbury/",""
"Oyster Bay",40.86565,-73.53207,"Nassau","Long Island","https://graduatepestcontrol.com/locations/oyster-bay/","Rodent Control; Structural Exclusion; Ant Control"
"Port Washington",40.82566,-73.69819,"Nassau","Long Island","https://graduatepestcontrol.com/locations/port-washington/","Ant Control; Rodent Control; Bed Bug Treatment; Structural Exclusion; Mosquito Management; Wildlife Management"
"Roslyn",40.79982,-73.65096,"Nassau","Long Island","https://graduatepestcontrol.com/locations/roslyn/","Rodent Control; Structural Exclusion; Ant Control"
"Sands Point",40.85177,-73.71874,"Nassau","Long Island","https://graduatepestcontrol.com/locations/sands-point/",""
"Sea Cliff",40.84899,-73.64485,"Nassau","Long Island","https://graduatepestcontrol.com/locations/sea-cliff/",""
"Syosset",40.82621,-73.50207,"Nassau","Long Island","https://graduatepestcontrol.com/locations/syosset/","Rodent Control; Structural Exclusion; Ant Control"
"Asharoken",40.9375,-73.38333,"Suffolk","Long Island","https://graduatepestcontrol.com/locations/asharoken/",""
"Centerport",40.88538,-73.37623,"Suffolk","Long Island","https://graduatepestcontrol.com/locations/centerport/",""
"Cold Spring Harbor",40.87149,-73.45679,"Suffolk","Long Island","https://graduatepestcontrol.com/locations/cold-spring-harbor/","Rodent Control; Structural Exclusion; Ant Control"
"Commack",40.84288,-73.29289,"Suffolk","Long Island","https://graduatepestcontrol.com/locations/commack/","Rodent Control; Structural Exclusion; Ant Control"
"Dix Hills",40.80482,-73.33623,"Suffolk","Long Island","https://graduatepestcontrol.com/locations/dix-hills/","Rodent Control; Structural Exclusion; Ant Control"
"East Northport",40.87676,-73.32456,"Suffolk","Long Island","https://graduatepestcontrol.com/locations/east-northport/",""
"Eatons Neck",40.93065,-73.40151,"Suffolk","Long Island","https://graduatepestcontrol.com/locations/eatons-neck/",""
"Fort Salonga",40.9126,-73.30095,"Suffolk","Long Island","https://graduatepestcontrol.com/locations/fort-salonga/",""
"Greenlawn",40.86899,-73.36512,"Suffolk","Long Island","https://graduatepestcontrol.com/locations/greenlawn/",""
"Halesite",40.88843,-73.4154,"Suffolk","Long Island","https://graduatepestcontrol.com/locations/halesite/",""
"Huntington Station",40.85343,-73.41151,"Suffolk","Long Island","https://graduatepestcontrol.com/locations/huntington-station/","Rodent Control; Structural Exclusion; Ant Control"
"Kings Park",40.88621,-73.25734,"Suffolk","Long Island","https://graduatepestcontrol.com/locations/kings-park/",""
"Lloyd Harbor",40.90343,-73.45984,"Suffolk","Long Island","https://graduatepestcontrol.com/locations/lloyd-harbor/","Rodent Control; Structural Exclusion; Ant Control"
"Melville",40.79343,-73.41512,"Suffolk","Long Island","https://graduatepestcontrol.com/locations/melville/","Rodent Control; Structural Exclusion; Ant Control"
"Northport",40.90093,-73.34317,"Suffolk","Long Island","https://graduatepestcontrol.com/locations/northport/","Rodent Control; Structural Exclusion; Ant Control"
"Smithtown",40.85593,-73.20067,"Suffolk","Long Island","https://graduatepestcontrol.com/locations/smithtown/","Rodent Control; Structural Exclusion; Ant Control"
"Huntington",40.86815,-73.42568,"Suffolk","Long Island","https://graduatepestcontrol.com/locations/huntington/","Ant Control; Rodent Control; Bed Bug Treatment; Structural Exclusion; Mosquito Management; Wildlife Management"
"Brooklyn Heights",40.69538,-73.99375,"Kings","New York City","https://graduatepestcontrol.com/locations/brooklyn-heights/","Rodent Control; Cockroach Control; Bed Bug Treatment; Structural Exclusion; Wildlife Management; Ant Control"
"Cobble Hill",40.688194,-73.995941,"Kings","New York City","https://graduatepestcontrol.com/locations/cobble-hill/",""
"Dumbo",40.704167,-73.990278,"Kings","New York City","https://graduatepestcontrol.com/locations/dumbo/",""
"Park Slope",40.6701,-73.98597,"Kings","New York City","https://graduatepestcontrol.com/locations/park-slope/","Rodent Control; Cockroach Control; Bed Bug Treatment; Structural Exclusion; Wildlife Management; Ant Control"
"Williamsburg",40.71427,-73.95347,"Kings","New York City","https://graduatepestcontrol.com/locations/williamsburg/","Rodent Control; Cockroach Control; Bed Bug Treatment"
"Central Park South",40.76429,-73.973038,"New York","New York City","https://graduatepestcontrol.com/locations/central-park-south/",""
"Flatiron / NoMad",40.740278,-73.99,"New York","New York City","https://graduatepestcontrol.com/locations/flatiron-nomad/",""
"Greenwich Village",40.733611,-74.002778,"New York","New York City","https://graduatepestcontrol.com/locations/greenwich-village/","Rodent Control; Cockroach Control; Bed Bug Treatment"
"Hudson Yards",40.756111,-74.000557,"New York","New York City","https://graduatepestcontrol.com/locations/hudson-yards/",""
"NoHo",40.727222,-73.993611,"New York","New York City","https://graduatepestcontrol.com/locations/noho/",""
"SoHo",40.723,-74,"New York","New York City","https://graduatepestcontrol.com/locations/soho/","Rodent Control; Cockroach Control; Bed Bug Treatment"
